Объект;Широта;Долгота
Черновская СЭС 35 МВт 2 этап;52.001939; 113.194939
Фунтовская СЭС 4;46.237950; 48.146366
Яшкульская СЭС 585 МВт-3;46.167784; 45.350472
Калмыкская СЭС-1;47.947362; 44.667655
Майминская СЭС-3;51.971014; 85.853429
Абаканская СЭС;53.725550; 91.356984
Грачевская СЭС;52.912284; 52.910147
Чкаловская СЭС;51.721984; 55.343289
АвеларСолар - Кош-Агачская 2;50.020711; 88.695453
АвеларСолар - Усть-Канская СЭС;50.960829; 84.786882
АвеларСолар - Соль-Илецкая;51.069369; 55.016386
АвеларСолар - Бичурская;50.594041; 107.559719
АвеларСолар - Майминская 1;51.970993; 85.853425
АвеларСолар - Майминская 2;51.970993; 85.853425
АвеларСолар - Онгудайская;50.768779; 86.115219
АвеларСолар - Пугачевская;52.013883; 48.747950
АвеларСолар - Орловгайская 1;50.934381; 48.179419
АвеларСолар - Переволоцкая СЭС;51.889659; 54.155876
АвеларСолар - Исянгуловская;52.170814; 56.520082
АвеларСолар -БугульчанскаяСЭС1;52.820579; 55.978225
АвеларСолар -БугульчанскаяСЭС2;52.820579; 55.978225
АвеларСолар -БугульчанскаяСЭС3;52.820579; 55.978225
Ахтубинская СЭС 1 очередь;47.941263; 46.672593
Ахтубинская СЭС 2 очередь;47.941263; 46.672593
Ахтубинская СЭС 3 очередь;47.941263; 46.672593
Ахтубинская СЭС 4 очередь;47.941263; 46.672593
Светлинская СЭС ПК-1;50.838968; 60.884386
Светлинская СЭС ПК-2 25 МВт;50.838968; 60.884386
Октябрьская СЭС;48.063325; 46.014920
Кочубеевская ВЭС 1-4;44.720977; 42.026441
Орловгайская СЭС 2 очередь;50.934364; 48.179452
Бурибаевская СЭС 2;51.948597; 58.190988
Домбаровская СЭС 25 МВт;50.870676; 59.340590
Кочубеевская ВЭС 37-44;44.720999; 42.026356
Кочубеевская ВЭС 45-52;44.720999; 42.026356
Кочубеевская ВЭС 53-60;44.720999; 42.026356
Дергачевская СЭС 60 МВт 2 этап;51.216374; 48.793378
Дергачевская СЭС 60 МВт 3 этап;51.216374; 48.793378
Дергачевская СЭС 60 МВт-1;51.216374; 48.793378
Кочубеевская ВЭС 61-68;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ13ВЭУ20;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ21ВЭУ28;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ29ВЭУ36;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ5ВЭУ12;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ69ВЭУ76;44.720999; 42.026367
Кочубеевская ВЭС ВЭУ77ВЭУ84;44.720999; 42.026367
Оренбургская СЭС-1;51.268810; 58.484526
Оренбургская СЭС-3;51.268810; 58.484526
Оренбургская СЭС-4;51.268810; 58.484526
Бурибаевская СЭС;51.948597; 58.190988
Новоузенская СЭС;50.477491; 48.176634
Плешановская СЭС;52.830652; 53.469417
Волгоградская СЭС 1 2 очередь;48.499577; 44.619968
Марченковская ВЭСВЭУ25-ВЭУ32;47.201465; 42.542582
Григорьевская солнечная электр;51.110457; 55.349677
ЭкоСельЭнерго-1;51.075285; 55.019234
ЭкоСельЭнерго-2;51.075285; 55.019234
Нововаршавская СЭС 1 этап;54.184767; 74.654807
Нововаршавская СЭС 2 этап;54.184767; 74.654807
Нефтезаводская СЭС 20 МВт;48.500595; 44.626889
Старомарьевская 5 очередь;45.087764; 42.183704
Старомарьевская СЭС 3;45.087764; 42.183704
Старомарьевская СЭС 6 очередь;45.087764; 42.183704
Малодербетовская СЭС 1 этап;47.965907; 44.903730
Новопереволоцкая СЭС 15 МВт;51.907802; 54.164630
Малодербетовская СЭС 60 МВт-2;47.965905; 44.903720
